[00:00:00] 物理世界的CEO不敢赌
[00:00:02] 我可能胆子比较大
[00:00:03] 我们做了一个巨大的赌注
[00:00:05] 我们把以前的那套体系就停下来了
[00:00:08] 那套体系花了小几十个亿
[00:00:10] 直接来讲何小鹏skill的一个缺点会是什么
[00:00:13] 我觉得每个人skills化之后
[00:00:15] 都会发现这个人实际上是有非常多的缺点的
[00:00:18] 机器人对于小鹏来说意味着什么呀
[00:00:20] 我觉得这个世界上可能有非常多的解法
[00:00:23] 而我们选了一个最像人的人心继承
[00:00:26] 你觉得你的胜率有多大
[00:00:27] 我们大概有个两层
[00:00:29] 在这样一个技术剧烈变革的时代
[00:00:31] 你焦虑吗
[00:00:32] 当然焦虑
[00:00:33] 因为你会发现你以前的很多的逻辑论
[00:00:36] 甚至你逻辑论的底层的定理范式
[00:00:39] 甚至到公理层
[00:00:40] 你的价值观
[00:00:41] 人生观
[00:00:41] 世界观
[00:00:42] 在这些东西的变化下不是那么work
[00:00:44] 你今天从血海里游出来没有
[00:00:46] 我觉得都在有
[00:00:47] 我也不觉得有谁出来了
[00:00:49] 现在
[00:00:53] Hello
[00:00:53] 大家好
[00:00:54] 我是小俊
[00:00:55] 魏晋之约
[00:00:56] 是一档由微博财经和语言及世界工作室
[00:00:58] 联合出品的访谈节目
[00:01:00] 那今天我们的嘉宾是小鹏集团的创始人兼CEO
[00:01:04] 何小鹏
[00:01:05] 我们一起来聊聊他在物理AI上的探索
[00:01:08] 但是他还有很多不能说的秘密
[00:01:12] 在节目正式开始之前啊
[00:01:13] 我想先对于你最近对于AI的体感
[00:01:17] 来做一个小的调研
[00:01:18] 你最近使用最多的几个AI产品是什么
[00:01:21] 那我还真不多
[00:01:22] 那还是在非常传统的AI产品哦
[00:01:26] 千万豆包
[00:01:27] 但是在coding的方面呢
[00:01:29] 我们现在团队内部用了非常的多
[00:01:32] 但是我自己个人我不愿意使用
[00:01:35] 为什么他们就跟我问诶
[00:01:36] 小鹏你自己要去用嗯
[00:01:38] 呃我身上举了一个非常有趣的例子
[00:01:42] 我说我们当年在做互联网产品的时候
[00:01:46] 如果你天天用产品
[00:01:47] 你很快会到细节去啊
[00:01:50] 比如说你会觉得scales是哪里不好用啊
[00:01:54] 如果你了解它
[00:01:56] 你会去思考
[00:01:58] 认为他的优点将来还会非常的长
[00:02:01] 非常的多
[00:02:02] 但你一旦用进去
[00:02:03] 你会看到他的缺点跟问题
[00:02:05] 然后呢你会聚焦怎么去解决
[00:02:08] 比如说多人协作的coding的问题等系列的问题
[00:02:11] 反而不能让你向远方看
[00:02:14] 所以我对于科技快速变化的很多产品跟能力
[00:02:18] 我自己认为嗯要用不要太深度的用
[00:02:21] 特别是做一号位
[00:02:23] 但是基层的呃
[00:02:25] 或者说有一些产品线跟它强相关的
[00:02:28] 你就要鼓励什么方式都可以上
[00:02:32] 然后呢最后要看结果
[00:02:33] 然后在最后慢慢的把它归一啊
[00:02:36] 这样才是比较好诶
[00:02:37] coding对于一个企业的一号位来说
[00:02:40] 有任何的意义吗
[00:02:43] 你觉得他会对嗯
[00:02:45] 不管是小朋友也好
[00:02:46] 或者是汽车产业也好
[00:02:47] 或者是智能驾驶行业也好
[00:02:49] 会带来什么变化吗
[00:02:50] 我觉得他是对初级程序员的一个非常好的
[00:02:56] 目前来说还是一个辅助工具
[00:02:59] 但是也许两到3年后
[00:03:01] 会逼迫初级程序员都要上到高级程序员啊
[00:03:05] 但是我觉得对于嗯像智能辅助驾驶
[00:03:12] 或者像其他的强AI的能力
[00:03:15] 我认为嗯他的帮助是比较小的
[00:03:18] 它只是其中的一个工具
[00:03:19] 真正要把整个的英法建好
[00:03:21] 嗯啊整个的体系建好
[00:03:23] 实际上本身来说
[00:03:24] 你可以认为嗯他是在最应用层来帮大家的
[00:03:28] 那是AI coating
[00:03:29] 但是如果在内核层
[00:03:31] 比如说你想写个操作系统
[00:03:33] 我认为它的最核心还是整个的英法
[00:03:36] 而不是在coding
[00:03:38] 你现在每个月会使用多少token
[00:03:39] 公司会使用多少token
[00:03:41] 我们不太看这个事情
