[00:00:00] 理想是谁啊
[00:00:01] 看到2030年的话
[00:00:02] 我觉得一个比较好的回答是
[00:00:03] 我们希望能够成为全球领先的人工智能
[00:00:06] 终端企业哦
[00:00:07] 这现在加了终端对
[00:00:09] 这是一个变化
[00:00:11] 你有没有想过DPC为什么不是你做的
[00:00:14] 我觉得我只能做最好的自己
[00:00:15] 对那他的延长线其实就是从人工智能开始的
[00:00:18] 因为他在浙大其实学的就是人工智能
[00:00:21] 对那是他的演唱戏
[00:00:24] 这些讨论啊
[00:00:26] 这些争执啊
[00:00:27] 我觉得背后有个更重要的一点
[00:00:29] 其实我觉得是能量
[00:00:30] 人和人之间的能量始终存在的时候
[00:00:32] 这些争执这些讨论
[00:00:33] 这些吵架就是一个更完善的大脑
[00:00:36] 当这些能量消失的时候
[00:00:38] 然后这些政治这些讨论不同的想法
[00:00:40] 其实就是内耗
[00:00:44] 上次我问你理想有理想吗
[00:00:45] 那这次想问你
[00:00:46] 你对理想的设想会不会太过于理想
[00:00:50] 我们先来做一轮long contest
[00:00:53] 长文本对话
[00:00:54] 假设你是一个大模型
[00:00:55] 你现在能支持的上下文窗口有多大
[00:00:58] 你看google和open i现在都能支持的是100万个token
[00:01:01] 那你呢我觉得人类的整个的生理的特点
[00:01:05] 然后和人工智能是有本质的差别的
[00:01:07] 人类并不擅长处理特别复杂的信息
[00:01:10] 呃所以呢我们经常讲人类要做
[00:01:13] 然后熵减
[00:01:14] 而不要去做熵增
[00:01:15] 那我觉得人工智能非常擅长处理足够大的信息
[00:01:18] 包括今天预训练的规模
[00:01:20] 这个数据规模已经不是15T了
[00:01:22] 因为现在已经开始有30T的啊
[00:01:24] 到最新的拉玛四这样的
[00:01:25] 所以我说这是一个本质的差异
[00:01:27] 所以从这个角度而言
[00:01:28] 包括人类发明方法论
[00:01:30] 人类使用各种工具都是为了减少能量的消耗
[00:01:34] 因为大脑也要消耗能量的
[00:01:36] 所以我说这是人类的一个特点
[00:01:37] 所以从某种程度来讲
[00:01:38] 人类应该和AI是个非常好的友好关系
[00:01:41] 各自做各自擅长的事情
[00:01:43] 总体来说你是觉得人不像模型
[00:01:46] 人可能像更小的模型吧
[00:01:48] 我们去读很多书
[00:01:49] 去学习很多知识
[00:01:51] 其实某种程度上也像是预训练
[00:01:53] 但我们把这些知识能够变成业务去做
[00:01:56] 然后本身也像推理对啊
[00:01:58] 并通过推理去调用各种工具
[00:02:00] 然后去实现
[00:02:01] 对我觉得人类可能像一个更小的一个模型
[00:02:03] 而且就上完了不同的专业的学习之后
[00:02:06] 不同的人进入了不同的领域
[00:02:08] 所以他不是一个巨大的一个基座大模型
[00:02:11] 对就像今天人工智能也是一样的
[00:02:15] 那处理一些通用信息还很好
[00:02:17] 但1~1个专业领域里面
[00:02:19] 往往其实又很多时候明显不如人了
[00:02:21] 因为这个领域里边
[00:02:23] 然后它需要更高质量的数据
[00:02:25] 对他需要更专业的COT啊
[00:02:28] 那我觉得这个其实都是接下来人工智能
[00:02:30] 下一步发展的
[00:02:31] 然后要去解决的挑战和价值所在
[00:02:33] 距离上次的AI talk过去了130天啊
[00:02:35] 你最大的进步是什么
[00:02:37] 你有成为一个更智能的理想吗
[00:02:39] 这130天
[00:02:40] 我觉得更高兴看到的是整个中国的进步对吧
[00:02:44] 我觉得包括deep seek呀
[00:02:45] 包括千问啊在内的
[00:02:47] 可以让中国的
[00:02:48] 无论是基座模型还是reasoning的推理的
[00:02:51] 这个模型
[00:02:52] 还是后边的多模态
[00:02:53] 我觉得已经跟美国距离基本上拉近了
[00:02:57] 或者基本上在一个水平线上了
[00:02:59] 而且呢中国的企业做出来这些模型效率也更高
[00:03:03] 无论是在训练的层面
[00:03:05] 还是在后边的整个推理层面
[00:03:07] 对我们做了很多的深层的工程的这样的
[00:03:10] 一个改造
[00:03:11] 对
[00:03:12] 然后我觉得也让整个的中国的人工智能领域
[00:03:15] 然后其实更有信心
[00:03:17] 包含后边的话
[00:03:18] 我觉得我看到一些比较欣喜的
[00:03:21] 在agent上面的一些突破
[00:03:23] 然后无论是minus还是JSSPK
[00:03:25] 对我觉得其实这些方面做的都非常的好
[00:03:27] 所以我说这个其实看到非常惊喜的
[00:03:29] 我觉得这也树立了我们其实把AI做得更好的
[00:03:32] 这个信心
[00:03:33] 今天大家在讲语言模型
[00:03:34] 语言模型
[00:03:35] 但我还认为
[00:03:35] 语言模型只是世界的一个重要的组成部分
[00:03:38] 但并不是全部啊
[00:03:40] 我们要想去理解物理世界对
[00:03:42] 然后我们要想让一个终端或者一个机器人
[00:03:44] 能够在物理世界和数字世界里来运行
[00:03:47] 其实要做的工作还有非常多
[00:03:49] 对我觉得这个其实是更加坚信
[00:03:52] 然后这条路走下去其实是对的
[00:03:54] 那你有变成一个更智能的理想吗
[00:03:57] 我觉得没有那么大的变化
[00:03:58] 然后如果从实际的角度而言
[00:04:00] 对人工智能发展这么好
[00:04:02] 但我每天工作时间并没有减少
[00:04:03] 还是在增加
[00:04:04] 是啊这是为什么身边的所有的这些同事啊
[00:04:07] 朋友啊对
[00:04:09] 然后大家都讲人工智能怎么耗
[00:04:10] 人工智能怎么好
[00:04:11] 但是大家工作时间并没有减少
[00:04:13] 工作成果也基本上没有什么实质性的改善
[00:04:15] 那我觉得这也是我们得思考一下
[00:04:17] 这样一个新的技术的发展阶段的一个问题
[00:04:20] 那如果其实从今天这种cheat bot呀
[00:04:22] 或者这种对话的这种方式
[00:04:24] 包括
[00:04:25] 然后来大家普遍也会把整个的reasoning推理
[00:04:28] 然后都用用上以后
[00:04:29] 然后能够做一些更长链条的这种思考
[00:04:33] 这和这种推理的任务的时候
[00:04:36] 但是你也能看到他一些这个严重的一个问题
[00:04:39] 就是他大部分人在使用
[00:04:41] 或者说我见的几乎所有的人使用
[00:04:43] 其实还是在把它当成一个信息工具来使用
[00:04:45] 对那如果是信息工具的话
[00:04:49] 其实AI作为一个信息工具不是完美的
[00:04:51] 因为他最后一定要给你个next token
[00:04:54] 一定要给你一个结果嗯
[00:04:56] 而且大家今天使用的时候会先点上联网搜索
[00:04:59] 通过rag做联网的搜索一些索引信息
[00:05:01] 但往往其实索引的信息源就已经是
[00:05:04] 真和不准确了
[00:05:05] 嗯所以最后推理的过程很认真在做推理
[00:05:09] 但是呢你明显都看到这个过程和结果
[00:05:11] 已经开始有问题了
[00:05:12] 所以某种程度而言
[00:05:14] 不对这套机制进行一个改造的话
[00:05:16] 他某种上人家是在做熵增
[00:05:18] 对在增加大量的无效信息
[00:05:20] 无效结果无效的结论
[00:05:22] 我觉得这个世界上充满了幻觉
[00:05:24] 遍布了有幻觉的信息对
[00:05:26] 然后包含你
[00:05:27] 你看非常有意思
[00:05:28] 比如说其实deep seek刚推出的时候
[00:05:31] 我们能看到很多人会把deep seek的一个推理过程
[00:05:34] 然后转成了图片
[00:05:35] 放在小红书上
[00:05:36] 很多人去看对
[00:05:37] 但今天没人发这些东西了
[00:05:38] 因为发了没人有人看了
[00:05:40] 因为这些东西都是千篇一律的
[00:05:41] 那我觉得这是一个很大的挑战
[00:05:43] 所以呢我就在思考一个问题
[00:05:45] 因为还是要站在真正的用户的价值的角度
[00:05:48] 如果大家在拼命的使用AI
[00:05:50] 大家在vi做投资
[00:05:52] 然后我的工作时长并没有减少
[00:05:54] 我的工作结果也没有变好
[00:05:55] 那这个问题到底在哪里对
[00:05:57] 所以我说这是也是过去几个有跟很多人在聊啊
[00:06:01] 在思考我们内部在讨论非常多的一个问题
[00:06:03] 所以呢我觉得很多时候不要把东西缠到一起
[00:06:06] 我们可以先做一个分类对吧
[00:06:08] 因为人类历史上也会有类似这些的分类
[00:06:10] 那今天的话通过一个对话的方式
[00:06:13] 无论文本多么长
[00:06:14] 其实它都是个信息工具
[00:06:16] 然后我觉得信息工具的话对大家而言
[00:06:19] 更重要的其实是一个参考作用嗯那为什么呢
[00:06:22] 因为你拿出了这个给你一个股票投资的结论
[00:06:25] 或者给你一个职业生涯决策的结论
[00:06:28] 或者给你一个工作的结论
[00:06:29] 但是你真正在工作的时候
[00:06:31] 你每天八小时的这个工作的时候
[00:06:34] 你还是优先会去完成公司给你的KPI
[00:06:37] 公司给你的OKR
[00:06:38] 那其实如果你没有改变这些东西
[00:06:41] 其实其他的东西并没有改变
[00:06:43] 他的整个工作效率和工作成果啊
[00:06:46] 只是给了一个建议
[00:06:47] 或者在脑子里空转了一圈
[00:06:49] 那所以我这是信息工具一个状况
[00:06:51] 那再往下呢
[00:06:52] 其实AI变好了以后
[00:06:54] 它会变成一些辅助工具
[00:06:56] 比如我们今天做的辅助驾驶
[00:06:57] 大家在我们车上
[00:06:59] 再用人工智能的语音的方式来进行导航
[00:07:02] 来来查找美团来调取音乐
[00:07:05] 那它这样会让我们的效率更高
[00:07:07] 但它会仍然离不开我们
[00:07:08] 所以呢这时候这种角色比较像什么呢
[00:07:11] 他确实比原来的使用体验会更好了
[00:07:13] 他是个辅助的一个工具
[00:07:14] 那我觉得什么时候才能真正
[00:07:16] 改善我们的工作的成果
[00:07:18] 以及减少我们的工作时长
[00:07:19] 我觉得他必须变成生产工具
[00:07:21] 嗯而且呢我自己认为agent特最重要的评判条件
[00:07:25] 就是它是否是个生产工具
[00:07:28] 他是否真的能替代我去完成专业的工作
[00:07:31] 它是否真的在产生有效的生产力
[00:07:35] 或者他是否真的在解决我工作中
[00:07:39] 那最重要的八小时的时间
[00:07:41] 对
[00:07:41] 我觉得这个其实是我认为
[00:07:42] 接下来对agent最重要的一个衡量
[00:07:44] 也是agent的意义所在
[00:07:46] 这是你对于工具的三个分级信息工具
[00:07:48] 辅助工具和生产工具
[00:07:50] 对对我觉得人工智能变成生产工具
[00:07:53] 然后才是真正人工智能爆发的时刻
[00:07:56] 我也有这种感觉啊
[00:07:57] 就是AI来了以后越来越卷
[00:07:59] 嗯就是大家的时间全部都在加班
[00:08:02] 你觉得到今天为止
[00:08:03] 没有任何一个AI产品
[00:08:05] 满足了这个成为生产工具的基础条件对吗
[00:08:10] 嗯有一个两个产品
[00:08:13] 就是它可能已经挨上了生产工具的边没有
[00:08:18] 我经常问我们的同事
[00:08:20] 对我说
[00:08:21] 一个信息工具往往你并不愿意付钱
[00:08:24] 一个辅助工具你认为是一个产品应该带的对吧
[00:08:27] 因为辅助工具
[00:08:29] 就是只是提升了现有的产品的竞争力
[00:08:31] 生产工具一个很重要的衡量特点
[00:08:34] 就是你愿意为他付钱
[00:08:37] 我觉得这才是生产工具
[00:08:38] 反正我目前从同事身边听到的真正的有效的
[00:08:43] 他们认为算一个初级的生产工具的
[00:08:45] 一个是cursor
[00:08:47] 然后一个是open i的deep research
[00:08:49] 然后curs主要是我们的编程的同事们都在使用
[00:08:52] 然后deep research是我们的商分
[00:08:54] 和我们的战略团队在使用
[00:08:57] 他们是自己付费的
[00:08:58] 并没有花公司的钱
[00:08:59] 就这个很有意思啊
[00:09:00] 就是为什么到今天
[00:09:02] 就是所有的AI产品还没有成为生产工具呢
[00:09:04] 你觉得是因为智能水平不够吗
[00:09:05] 我觉得生产工具的话
[00:09:06] 比如说生产工具的要素是什么呢
[00:09:09] 怎么样能够成为一个生产工具
[00:09:11] 我是必须有action
[00:09:13] 不能只是知必须行嗯对然后知行合一才可以
[00:09:18] 就是今天你用O2O3多么聪明
[00:09:21] 然后你用deep sk r11这些都多么聪明
[00:09:24] 但其实他并没有真正的去行动
[00:09:26] 他只是给出了你策略并做策略的推演
[00:09:29] 我工作的时候
[00:09:30] 我还是要通过操作电脑
[00:09:32] 然后去处理很多工作
[00:09:34] 或者通过一个物理世界的东西去处理工作
[00:09:36] 所以我觉得他必须得有行动
[00:09:38] 行动才能产生价值
[00:09:39] 呃所以呢像minus
[00:09:41] 其实他就已经在行动上做了很多的工作了
[00:09:44] 其实包括自动驾驶
[00:09:45] 是控制一个机器在物理世界
[00:09:46] 然后去行动
[00:09:47] 我觉得必须得能够行动
[00:09:49] 然后才可以
[00:09:50] 你怎么看minus这个产品
[00:09:52] 我自己觉着它是往生产工具对
[00:09:55] 然后就是从整个产品的创意上而言
[00:09:58] 是往生产工具走的最大的一步对
[00:10:00] 然后包括他们通过建虚拟机
[00:10:02] 包括去调用工具
[00:10:03] 比如今天有一个挺大的一个问题
[00:10:05] 就是至少很长一段时间
[00:10:07] 所有的模型公司都认为其实不需要软件
[00:10:09] 不需要工具对
[00:10:11] 然后最后模型都能够去替代掉
[00:10:12] 对那我拿人举个例子
[00:10:14] 你比我聪明十倍
[00:10:15] 然后你拿勺挖一个坑
[00:10:17] 我拿铲子去挖一个坑
[00:10:19] 对我再笨
[00:10:20] 我效率都比你高
[00:10:21] 我要是比你聪明十倍
[00:10:23] 我不会拿手去挖呀
[00:10:24] 但是但是因为你没有工具
[00:10:26] 而且呢工具意味着其实更高的确定性
[00:10:28] 然后更低的这种能量啊和token呢一个消耗
[00:10:32] 很多时候就这两个并不冲突
[00:10:35] 有更好的大脑和使用更好的工具并不冲突
[00:10:38] 而且由于脑子变强以后
[00:10:40] 工具可以变得更强
[00:10:41] 其实minus从调用工具的角度去完成各种工作
[00:10:44] 比如分析特斯拉股票
[00:10:46] 去浏览sec的网站
[00:10:47] 去浏览特斯拉的投资者的关系的网站
[00:10:50] 直接去阅读最top的各个投行的分析师
[00:10:54] 关注特斯拉这些人的分析报告
[00:10:56] 而不是只是简单通一个rag
[00:10:58] 然后就作为信息的索引
[00:10:59] 我觉得这个更像是真正的专业的工作人员
[00:11:02] 和生产工具要做的一个方式
[00:11:04] 只是他们作为一个通用A证的覆盖的面太广了
[00:11:06] 这就是个很大的挑战
[00:11:08] 是为什么这样的一个A证呢
[00:11:09] 可能是一个创业公司做出来的
[00:11:11] 你有想过吗
[00:11:12] 我个人感觉哈
[00:11:14] 就是说在一个新技术产生的时候
[00:11:16] 反而会造成过去的这些大公司
[00:11:19] 或者创业公司里的这些大公司
[00:11:21] 会把分工分的太精细了
[00:11:23] 但往往其实产品是多个东西的组合
[00:11:28] 才能变成一个好的产品
[00:11:29] 对那如果模型的人认为我就要做好模型
[00:11:32] 我要用模型解决一些问题
[00:11:34] 一切问题对吧
[00:11:35] 那其实这个就会变成非常大的一个挑战
[00:11:38] 我刚才跟你们聊的是
[00:11:39] 就是过去130天理想的进步是什么
[00:11:41] 那你回答了我很多就是关于你的最新的思考
[00:11:45] 那你觉得过去130天里
[00:11:46] 理想这家公司最大的进步是什么呢
[00:11:49] 他有成为一个更智能的组织吗
[00:11:51] 我觉得我们没有那么快的变化
[00:11:54] 对就跟刚才讲的
[00:11:55] 其实这是一些重要的一些突破
[00:11:57] 然后我们要想
[00:11:58] 我们作为一个其实3万多人的企业
[00:12:01] 那我们如果想要发生很多重要的一个变化
[00:12:05] 还是得围绕真正的用户价值能够发生的变化
[00:12:08] 去产生变化
[00:12:09] 不能只是说技术发生了一些变化
[00:12:11] 我就去改变我的组织
[00:12:13] 我自己来看所有的变化之间的关系
[00:12:16] 第一我会把什么把规模放到一个中心嗯
[00:12:19] 对因为规模是个确定性的
[00:12:20] 我做1000亿收入
[00:12:21] 还做2000亿的收入
[00:12:22] 第二呢是在围绕这个规模
[00:12:24] 外边其实有三个动态的变量
[00:12:26] 我觉得一个是用户需求会发生的变化
[00:12:29] 然后我就一个是技术产品发生的变化
[00:12:31] 然后一个是组织发生的变化
[00:12:33] 然后这三个之间的变化我会相互诊断
[00:12:36] 如果只是技术产品发生变化
[00:12:38] 但用户需求没有发生变化
[00:12:40] 对其实我并不会上来就去调组织的
[00:12:43] 很多时候是
[00:12:44] 当我看到用户需求在发生变化的时候
[00:12:47] 产品技术的变化和用户需求变化
[00:12:49] 产生了结合的时候
[00:12:50] 组织变化就必须跟上
[00:12:52] 所以我说这是我们来看的
[00:12:54] 否则我们不能因为任何一今天出了个东西
[00:12:56] 我们就调整一下
[00:12:57] 明天出的东西就调整一下
[00:12:58] 这肯定是有问题的
[00:12:59] 所以过去130天
[00:13:00] 其实最大的变化是外部的环境
[00:13:02] 对国际国际环境也在发生重大的变化
[00:13:04] 本身的技术也在发生变化
[00:13:06] 但技术最大的变化还是中国带来的变化嗯
[00:13:10] 就中国在人工智能方面带来的变化对
[00:13:12] 然后美国的变化反而没那么大
[00:13:15] 对你从DPC身上学到了什么
[00:13:19] 我觉得deep seek
[00:13:20] 我能学到最好的一个方式是deep seek
[00:13:23] 运用了人类的最佳实践
[00:13:25] 它极简的用了人类的最佳实践
[00:13:28] 比如说其实他在做deep sk v3的时候
[00:13:31] 其实V3是一个MOE的
[00:13:33] 6710亿的一个模型
[00:13:36] 对啊我觉得MOE是个非常好的架构
[00:13:39] 对他相当于把一堆专家组合在一起
[00:13:41] 然后每一个是一个专家能力啊
[00:13:43] 那包含他在做这个专家能力是怎么来构建的
[00:13:47] 其实挺明显的
[00:13:48] 当我们想去构建能力的时候
[00:13:50] DEPC给你展示了一个最佳实践
[00:13:51] 就第一步一定要先搞研究
[00:13:53] 对我觉得这是非常重要的
[00:13:55] 就是任何的时候
[00:13:56] 当我们想要去改变能力和提升能力的时候
[00:13:58] 第一步一定是搞研究
[00:13:59] 然后搞完研究以后
[00:14:00] 其实才搞研发对
[00:14:03] 然后搞完研发以后
[00:14:04] 我觉得第三步是要把能力表达出来
[00:14:07] 然后第四步是能力
[00:14:08] 然后变成业务的价值
[00:14:10] 所以这个四个步骤是个极简的人类最佳实践
[00:14:13] 但我们经常做着就忘掉了对
[00:14:16] 然后看到什么东西就直接去启动研发
[00:14:18] 而没有去搞研究
[00:14:19] 我们自己也很受益
[00:14:20] 其实无论我们是在端到端和这个VRM上
[00:14:23] 还是今天做VRA的时候对
[00:14:25] 然后我们的研究团队其实表现的非常好
[00:14:28] 包括你可以看国外的像李飞飞什么的
[00:14:31] 其实他在引用自动驾驶的时候
[00:14:32] 也经常会引用我们的关于自动驾驶方面的
[00:14:35] 这些研究的论文对吧
[00:14:37] 那我觉得这个其实同样
[00:14:38] 那研究跑通了以后
[00:14:39] 研发效率会变得非常的高
[00:14:41] 但是研发的又非常在意价值
[00:14:43] 它能够把价值表达出来
[00:14:44] 然后变成业务对吧
[00:14:46] 那我觉得这是一个这个很重要的过程
[00:14:48] 比如说我再举一个例子
[00:14:49] 像大家如果用我们的端到端
[00:14:51] 我们是端到端上唯一给你展示的端
[00:14:53] 端端是怎么工作的
[00:14:54] 这端到端
[00:14:55] 然后是怎么来取轨迹的
[00:14:57] 然后端端端的attention
[00:14:59] 注意力是怎么工作的
[00:15:00] 然后VRM是怎么工作的
[00:15:02] 其实这本身是你的能力的一个展示
[00:15:04] 能让你的使用者或者让所有的参与者能够理解
[00:15:07] 我觉得这是一个交互和产品
[00:15:09] 对对那这是技术才能实现的
[00:15:12] 今天在有模型的
[00:15:12] 有技术才能实现的
[00:15:13] 这并不是简单产品能实现的对
[00:15:16] 那我觉得这是一个做得好的
[00:15:18] 我觉得是deep seek v3的一个表现
[00:15:19] 那deep seek r1又追寻了另外一个
[00:15:22] 他是个reason
[00:15:23] 它是个推理
