[00:00:01] 哈喽大家好
[00:00:02] 我是小俊
[00:00:03] 在前面几期节目中
[00:00:05] 我和大家一起遇见了许多非常年轻的面孔
[00:00:08] 他们是AI时代原生的创业者和技术领袖
[00:00:12] 但AI对社会的渗透是全方位的
[00:00:15] 不止于新产品核心技术
[00:00:17] 那今天我们的嘉宾是安克创新的创始人兼CEO杨萌
[00:00:22] 他是1982年出生
[00:00:24] 2011年开始创业
[00:00:26] 如今掌舵了一家市值超过600亿人民币的科技企业
[00:00:30] 那面对新的AI范式变化
[00:00:32] 杨萌会怎么做呢
[00:00:34] 尤其在消费电子这个无限战争的赛场之上
[00:00:38] 那接下来就是我对杨萌的访谈
[00:00:41] 这世界特别公平的
[00:00:43] 刚刚讲就是我们前面其实也没有经过融资的困难对吧
[00:00:47] 然后过得也很顺
[00:00:48] 那这几年其实我们过得还是挺痛苦的
[00:00:51] 呃我觉得大江是一个从第一天开始就选了一个男的模式
[00:00:57] 甚至是个地狱难度模式的公司
[00:00:58] 自己第一天选的品类其实就是一个特别特别难的品类
[00:01:02] 所以前面那几年肯定是很痛苦的
[00:01:04] 成为第三类公司
[00:01:05] 一般需要CEO是一个什么样的性格和个性
[00:01:13] Hello
[00:01:14] 斯蒂芬
[00:01:14] 给观众朋友们打个招呼
[00:01:16] Hello
[00:01:16] 小君好
[00:01:17] 我是安克创新的创始人小杨萌
[00:01:20] 那嗯很高兴来到你的节目对嗯
[00:01:23] 我看到你们说你们要从一家做生意的公司转型成一个做深科技的公司
[00:01:29] 这个到底是世界变了还是你变了
[00:01:32] 大家听完课的时候
[00:01:33] 第一反应诶好像最早认识这个品牌是因为充电宝
[00:01:37] 那当听到安克要做芯片
[00:01:40] 做矩阵智能对吧
[00:01:43] 做这些复杂的东西的时候
[00:01:44] 然后会很好奇嗯其实我们想这就是一个公司
[00:01:49] 它自然进化嗯
[00:01:51] 一步一个台阶
[00:01:52] 踩着往上走的自然的过程
[00:01:55] 嗯对那我们还是从原点来聊一聊吧
[00:01:58] 我们也很想让观众和听众知道安克是谁
[00:02:01] 你是谁
[00:02:02] 那我看你的成长经历
[00:02:04] 好像一路都是别人眼里的好学生
[00:02:06] 包括长沙雅礼中学
[00:02:08] 然后北大计算机系
[00:02:10] 然后去美国读博
[00:02:11] 虽然毕业
[00:02:12] 然后又在google工作工作过5年
[00:02:14] 然后获得了google的最高奖founder award
[00:02:17] 你的成长经历是一个出格的人还是一个不出格的人
[00:02:20] 是一个好学生吗
[00:02:21] 我肯定是个不出格的人
[00:02:23] 肯定是大家眼中那种好学生
[00:02:26] 并且自己心里好像也是以好学生为标准要求自己的
[00:02:30] 对by the way fers world
[00:02:31] 其实也是一个集体的word
[00:02:33] 它不是一个给个人的奖项
[00:02:34] 对讲讲我的经历啊
[00:02:36] 其实我是学计算机的本科
[00:02:39] 然后呢毕业之后跟着大家一起就去美国读书啊
[00:02:44] 为什么是跟着大家一起
[00:02:46] 因为那会儿系里边前1/3的同学可能都申请了海外的学校
[00:02:51] 然后去美国读博士了
[00:02:53] 对呃现在不一定是这样了
[00:02:55] 但我们那会儿2003年
[00:02:57] 那差不多是23年以前还是那样的一个趋势
[00:03:00] 对嗯
[00:03:02] 那我去的是UTAUSTIN
[00:03:06] 当时在北美的cs排名还可以哦
[00:03:09] 我的教授叫REBMI
[00:03:10] 他是机器学习界很谦虚的人物
[00:03:17] 机器machine learning就是用机器来做AI
