[00:00:01] 想象一个鱼缸嘛
[00:00:02] 然后你把一个脑子放在里面
[00:00:04] 可能下一个突破边界的确实就是你得靠AI
[00:00:07] 因为它是一个巨大的杠杆
[00:00:09] 过去年KIMI也是波峰波谷来回震荡
[00:00:13] 就我觉得这个是这是很重要
[00:00:16] 人类文明的放大器
[00:00:22] Hello
[00:00:23] 大家好
[00:00:23] 我是小俊
[00:00:24] 今天的嘉宾是月之暗面的创始人兼CEO杨志玲
[00:00:28] 就在一年前呢
[00:00:29] 我们发布了一篇文章
[00:00:30] 叫做杨志林复盘大模型
[00:00:32] 创业这一年向延绵而未知的雪山前进
[00:00:35] 那么时隔一年呢
[00:00:37] 我们再次对话嗯
[00:00:40] hello志玲
[00:00:41] 先给观众朋友们打个招呼
[00:00:42] Hello
[00:00:42] 大家好
[00:00:43] 在你创业第一年结束的时候
[00:00:45] 2024年
[00:00:46] 我们访谈报道的标题是
[00:00:47] 向迎面而未知的雪山前进
[00:00:49] 那现在又过了一年
[00:00:50] 站在现在此刻
[00:00:52] 2025年7月份
[00:00:53] 你最新的感受是什么样的
[00:00:55] 你刚刚提到这个词
[00:00:56] 我感觉都是好像过了很久
[00:00:58] 已经一年多了
[00:00:59] AI1天人间一年嘛
[00:01:00] 所以可能AI的一年我不知道在人间是多少天
[00:01:04] 所以对感觉确实很多东西发生了很多变化
[00:01:08] 但是我觉得那种感觉
[00:01:10] 就是你刚说的那种雪山的感觉
[00:01:12] 好像呃倒是差不太多的对
[00:01:16] 就是可可能往山顶的这个过程
[00:01:19] 我们又再走了一段距离多远啊
[00:01:22] 现在行进到哪里了
[00:01:24] 就你现在想就确实模型的进步挺大的对吧
[00:01:26] 就是你可能比如两年前
[00:01:28] 这个写一篇文章都写不太明白
[00:01:31] 然后现在他不光可以写很好的文章
[00:01:35] 他能够啊连续工作几个小时
[00:01:38] 帮你完成一个可能很复杂的代码任务
[00:01:41] 我我我觉得这个东西可能在两年前是很难想象
[00:01:49] 然后呢你解锁了一些
[00:01:52] 解锁了一些新的这个场景
[00:01:55] 就你大概知道中间这条路是什么样的
[00:01:58] 但同时就在网上过程中
[00:02:00] 你你你可能还是观察到差不多的景象
[00:02:04] 就是说你接下来的这个网网上的这个过程
[00:02:08] 它仍然会有很多未知的这种
[00:02:10] 比如技术问题需要去呃
[00:02:13] 需要去解决
[00:02:14] 对就是所以嗯我现在可能大概是这样的感受吧
[00:02:19] 更清晰了还是更迷惘了
[00:02:21] 就是在这个我我四下都是选一个地方
[00:02:25] 对我觉得肯定会有很多东西变得更清楚对
[00:02:28] 就比如说呃可能我觉得在两年之前
[00:02:33] 这个比如说各种强化学习的这种范式啊
[00:02:37] 怎么去做
[00:02:38] 让模型有更强的推理能力
[00:02:40] 或者有更强的这种北GETIC的能力
[00:02:44] 呃我觉得在当时可能没有那么清楚对吧
[00:02:47] 当时可能更多的是说你这个模型的预训练
[00:02:50] 怎么能做的更好
[00:02:52] 然后呃当时比还有可能RHF的这个技术
[00:02:56] 能让他的这个呃在对话的体验里面做的更好对
[00:03:01] 但是现在我觉得会有新的一些问题
[00:03:04] 可能得到了答案
[00:03:05] 但同时这些新的问题他也有他又展开
[00:03:09] 可能又产生了一些新的别的问题啊
[00:03:11] 比如说可能我们今天会看到呃
[00:03:14] 虽然你可以做这些强化学习
[00:03:16] 但是你的强化学习
[00:03:18] 可能最终还是依赖于一个很好的评估
[00:03:20] 或者很好的验证
[00:03:22] 呃
[00:03:22] 比如说你让他去做一个数学题
[00:03:24] 或者一些有test case的编程
[00:03:27] 那可能可以做的比较好
[00:03:29] 但是如果让他去做一个呃
[00:03:32] 可能更加复杂的端到端的任务
[00:03:35] 有时候你并不非常容易找到这个
[00:03:37] 评估或者衡量的方式
[00:03:39] 所以我觉得现在的呃
[00:03:42] 呃这个系统可能就会产生一些新的问题
[00:03:45] 就有点像我最近可能看一本书
[00:03:47] 就是这个叫这个the beginning of infinity
[00:03:50] 对我我其实看了好几遍
[00:03:51] 就是然后你发现它里面讲的最重要的一个事情
[00:03:54] 就是说他他说有两句话要刻在石头上
[00:03:58] 一句一句话叫那个问题是不可避免的
[00:04:02] 但是第二句话是说问题是可以解决
[00:04:05] 然后基本上就是说你你就可以认为
[00:04:07] 在可能启蒙运动之前啊
[00:04:10] 这个社会它是一个静态的社会
[00:04:12] 就是大家并不追求创新
[00:04:14] 就是说你你可能会用很多神奇的方式去解释
[00:04:17] 你观察到的现象
[00:04:19] 但这些解释它可能是并不是一个好的解释
[00:04:21] 比如说你你看到这个呃
[00:04:24] 这个天上打雷
[00:04:25] 你会觉得是有雷公是对吧
[00:04:28] 然后你你你看到这个冬天下雪
[00:04:31] 你觉得可能是因为某个神他的心情不好
[00:04:34] 所以下雪了啊
[00:04:36] 就是你会有很多这种呃
