[00:00:00] 只是开了一扇窗户
[00:00:01] 他并不是开了一个很敞开很大的一个门
[00:00:03] 说你随便走吧
[00:00:04] 所以我们是首先吃螃蟹的人
[00:00:06] 跟投资人当时讲这事的时候
[00:00:07] 他们兴奋吗
[00:00:08] 听不懂
[00:00:08] 但完全听不懂这是什么东西
[00:00:10] 你们怎么挣钱
[00:00:11] 怎么把这个东西商业化了
[00:00:12] 投资人问的都是这个
[00:00:13] 我印象特别深刻
[00:00:14] 有个投资人
[00:00:15] 这东西你能变成钱吗
[00:00:17] 这个你看这个大环境这么差
[00:00:18] 经济这么差
[00:00:19] 要不你们把估值降一半怎么样
[00:00:21] 我听过一个评论
[00:00:22] 就是在讲质朴的
[00:00:23] 因为质朴其实一直不算是市场上最火
[00:00:25] 最明星的项目
[00:00:26] 但是是技术延伸的项目
[00:00:28] 然后你们是有视野
[00:00:29] 有技术
[00:00:30] 但是看起来会有点boring
[00:00:32] 他给我一个描述
[00:00:33] 说就像水泥一样
[00:00:34] 他能干的很漂亮
[00:00:35] 但是他就是没有太多的情绪价值
[00:00:37] 100年后
[00:00:37] 如果质朴会出现在人工智能的历史书上
[00:00:40] 也希望他是被怎么撰写的
[00:00:42] 质朴是AGI历史上的一个先行者
[00:00:46] 就开路的人
[00:00:54] Hello
[00:00:54] 大家好
[00:00:54] 我是小俊
[00:00:55] 未尽之约
[00:00:56] 是一档由微博财经和语言及吃界工作室
[00:00:59] 联合出品的访谈节目
[00:01:01] 今天我们的嘉宾是质朴AI的CEO张鹏
[00:01:03] 站在质朴即将要上市的档口
[00:01:06] 我们聊了聊过去
[00:01:07] 这个被AI巨浪冲刷过的激荡的3年
[00:01:12] 张鹏老师先给观众朋友们打个招呼
[00:01:14] 大家好
[00:01:14] 晓君好
[00:01:15] 我来这栋楼感觉还挺恍惚的
[00:01:18] 因为从23年开始
[00:01:20] 我就经常来这栋楼进行采访
[00:01:22] 然后那个时候这里有很多公司
[00:01:24] 比如说你们
[00:01:25] 然后有百川百川
[00:01:27] 还有当年的光年之外
[00:01:28] 今天这些公司
[00:01:29] 感觉命运已经开始分化和变得迥异了
[00:01:32] 你有什么想说的呃
[00:01:34] 说长吧
[00:01:35] 你说6年多时间
[00:01:38] 你从23年开始算到现在可能就3年时间
[00:01:40] 但是他我们质朴成立开始算也6年多时间
[00:01:44] 这段时间6年多时间说长不长
[00:01:46] 但是确实发生了非常非常多的事情
[00:01:49] 我们有时候经常的感慨
[00:01:50] 可能过去需要10年
[00:01:52] 15年发生的事情
[00:01:53] 可能就在这56年的时间里面就发生了
[00:01:56] 嗯所以确实是变化很大吧
[00:01:59] 但也也很感慨
[00:02:01] 知否能走到今天也非常不容易
[00:02:04] 是怎么开始这段旅程的吧
[00:02:06] 可能我在有一些场合跟大家讲过
[00:02:09] 我们出来创业的这个故事
[00:02:11] 因为我的履历也非常的简单
[00:02:13] 其实大清华对
[00:02:15] 基本上从98年进了清华
[00:02:17] 就没离开过
[00:02:17] 到现在为止也在给清华打工
[00:02:19] 因为是我们的股东嘛
[00:02:21] 嗯那我毕业以后
[00:02:22] 其实就在清华大学的计算机系工作
[00:02:25] 在实验室里面工作叫知识工程
[00:02:27] 就是人工智能相关的这样一些事情
[00:02:29] 那到1516年左右的时候
[00:02:32] 其实是一个很关键的一个点
[00:02:34] 嗯嗯因为之前像我们实验室里面也走出去过
[00:02:37] 像呃唐文斌啊
[00:02:39] 杨慕啊这些呃学生
[00:02:42] 然后很成功的对对对
[00:02:43] 很成功的创创办了旷世旷世联合创始人
[00:02:46] 对对对
[00:02:47] 也是上一代
[00:02:48] 我们叫上一代人工智能四小龙之一吧
[00:02:50] 嗯AI1.0时代对
[00:02:52] 所以在那个时候
[00:02:54] 1516年的时候
[00:02:55] 其实我们在内部就在讨论这个问题
[00:02:57] 当然是在实验室里面讨论这个问题
[00:02:59] 看到这些企业其实非常的成功
[00:03:01] 也在市场上也取得了一定的成就
[00:03:04] 也面临一些问题
[00:03:05] 但是因为我们当时在学校里面
[00:03:07] 更多要关注的是说技术本身的眼镜
[00:03:09] 到底有什么样的一些问题
[00:03:12] 其实那个时候很多大家
[00:03:14] 其实对于未来人工智能技术的演进
[00:03:16] 这个事情其实看的更远
[00:03:17] 他们会觉得说哎其实呃像CV
[00:03:21] 像早期的LP和机器学习的这些方法
[00:03:24] 可能也就天花板就在这了
[00:03:27] 他可能也做不到
[00:03:28] 我们说理想当中的通用人工智能啊
[00:03:30] 等等这些事情
[00:03:31] 那时候还没有这个概念吧
[00:03:32] 通用人工智能呃
[00:03:33] AGI是有的
[00:03:34] AGI是有
[00:03:35] 但是呢这个当时的这个第一代
[00:03:37] 这个人工智能企业之后
[00:03:39] 再往后是什么
[00:03:40] 这大家其实想不太清楚嗯
[00:03:42] 所以大家是借着这个问题看到了这个现象
[00:03:45] 借着这个问题在讨论说我们下一代应该怎么办
[00:03:48] 像张博院士啊
[00:03:49] 带着我们系里面很多老师
[00:03:51] 包括我们这个年轻的一些人一起在BSTORING
[00:03:55] 然后在聊这个事情
[00:03:56] 所以那个时候其实就逐渐的有一点想法
[00:03:59] 说我们要去做下一代的人工智能这个事
[00:04:01] 当时就想做下一代人工智能没错
[00:04:04] 其实有两个点
[00:04:05] 第一个就是说技术上
[00:04:06] 现有的这些呃技术
[00:04:09] 它确实是有天花板的
[00:04:10] 你再怎么样做它比如人脸识别
[00:04:12] 它超过人又怎么样呢
[00:04:14] 超过人之后没有意义了
[00:04:16] 就是再往上已经无法再去突破了
[00:04:18] 它能取得的产业效果也就这个样子
[00:04:21] 那下一代的技术是什么
[00:04:23] 第二个点是说呃
[00:04:25] 也看到了
[00:04:26] 这一代是上一代的这个人工智能企业的成功
[00:04:29] 也吸取了一个经验
[00:04:31] 人工智能这件事情它本身不是一个纯科学
[00:04:34] 不是理论科学
[00:04:35] 它是一个工程实践加理论科学
[00:04:37] 这个同步演进的这样一个综合性的学科
